Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Luis Alfonso,2000000,Video,2024-09-10 18:23:11-05:00,0.005469,10938,109,Mi gente linda este montanero sigue cumpliendo sueños que alguna una vez veia lejanos 🙏🏻 Por aca estamos de nuevo en tierritas Mexicanas cantando Mi Mazatlán del maestro Miguel Aceves 🔥🤠,31,0,[]
Luis Alfonso,2000000,Video,2024-09-09 23:57:10-05:00,0.0017765,3553,38,"Les quedo debiendo el audio, eso si, está lindo lindoooo lo que hicimos con mi compa @luisangelelflaco",17,0,[]
Luis Alfonso,2000000,Video,2024-09-08 13:18:01-05:00,0.005494,10988,141,"SOLD OUT! El próximo 26 de octubre el sueño de más de 14.000 personas se hará realidad ❤️ @luisalfonso, el señorazo, agotó todas las entradas para su primer festival en el @coliseomedplus de Bogotá. 📍 Atentos porque llegarán más sorpresas al festival más contentoso de Colombia. 🇨🇴 

#LuisAlfonso",48,1,['#LuisAlfonso']
Luis Alfonso,2000000,Video,2024-09-07 15:31:48-05:00,0.0056705,11341,224,Ay Dios mío bendito 🥲🙏🏼 mi gente no tengo palabras para describirles lo que estoy sintiendo ome ❤️ Que alegria tan hp saber que llenamos un escenario tan grande como el @coliseomedplus 🔥 vamos es pa delante con más ganas que nunca y prepárense porque el Festival Contentoso va a ser inolvidable 🤠 Dios los bendiga y gracias por tanto apoyo que me,63,0,[]
Luis Alfonso,2000000,Video,2024-09-03 19:18:26-05:00,0.005529,11058,144,"12y30 
@jhonnyrivera",2,0,[]
Luis Alfonso,2000000,Video,2024-08-31 21:46:09-05:00,0.010748,21496,109,CONTENTOSOS estaban mis hijos y CONTENTOSO está mi nuevo álbum. Vayan a escucharlo que ya está disponible 🔥🤠,18,0,[]
Yeison Jiménez,5000000,Video,2024-09-19 20:05:19-05:00,0.001501,7505,46,"¡Esto está que arde! 🔥🫡 En el nuevo episodio de Camino al Éxito, @yeison_jimenez nos trae una conversación poderosa con la increíble @lauraacunaayala. 👌🏼 Prepárate para descubrir anécdotas exclusivas, historias inspiradoras y las lecciones que estas dos celebridades tienen para compartir. 🎤 Este programa está hecho para quienes  buscan inspiración y éxito en cada aspecto de la vida, pero también risas y entretenimiento. 💛 No te lo pierdas, ya disponible en el link de nuestra bio. 👀",77,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-19 17:45:24-05:00,0.0011852,5926,33,"Saltamos el charco pa USA, están listos mi gente bella? 🇺🇸🥷🏻🔥

Andamos de tbt porque se pasó muy bueno por allá y hay que volver pa que la pasemos aún mejor, quién ya está alistando el hígado pa celebrar conmigo? 😎

Boletería disponible en: https://zcapeproductions.com/yeison-jimenez/

@zcapeproductions",46,0,[]
Yeison Jiménez,5000000,Foto,2024-09-19 10:11:26-05:00,-2e-07,-1,37,🔥EL MEJOR 🔥REMIX👌🏻💣🇲🇽🇨🇴 @yeison_jimenez,4,0,[]
Yeison Jiménez,5000000,Video,2024-09-17 19:18:44-05:00,0.001726,8630,173,"Cali, lo pidieron y su servidor escucha 🥷🏻😎🔥

Apunten fecha que estaremos allá el 16 de noviembre, las cosas buenas se disfrutan hasta el final y que mejor que cerrar el Invicto Tour 17-32 en mi Cali bella ❤️

Boletería disponible el viernes 20 de septiembre a las 2pm Col 🤩",51,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-16 15:47:30-05:00,0.0030884,15442,159,"MANIZALES DEL ALMA! #17-32 🥷🏻🔥

Gracias 🙏🏽 fue un honor cantarles en este INVICTO TOUR! …… 

🚨🚨🚨Ya que amanecí contento NOS VEMOS EN LA PLAZA DE TOROS DE CALI 👊🏻 muy pronto más detalles, pensaron que se quedarían por fuera? Pues no! Allá haremos historia 🚀",46,1,['#17']
Yeison Jiménez,5000000,Video,2024-09-15 13:57:30-05:00,0.0031014,15507,247,"5 arenas SOLD OUT, lo demás es historia 🙌🏻❤️

Invicto Tour, la gira de un aguacatero 🥑",17,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-12 21:15:21-05:00,0.008899,44495,260,"México 🇲🇽 ese país con el que tanto soñaba… 

Hoy, segundo país que más escucha mi música! 🙌🏻 12/9/2024 declarado está bajo la gloria de Dios",26,0,[]
Yeison Jiménez,5000000,Video,2024-09-12 18:33:15-05:00,0.0009416,4708,51,"Una rodadita por México 🇲🇽 🥷🏻😎

@diana_menchaca",7,0,[]
Yeison Jiménez,5000000,Video,2024-09-11 19:18:20-05:00,0.0050638,25319,234,"Ay apaa, venga le digo que con esta canción nos emparrandamos donde sea, como sea y con quien sea! 🥷🏻🔥",20,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-11 18:40:30-05:00,0.0022344,11172,64,Estuve en Nobsa Boyacá y fue cabrón!! 🥷🏻🔥,8,0,[]
Yeison Jiménez,5000000,Foto,2024-09-10 18:43:35-05:00,0.0034186,17093,164,"MÉXICO 🇲🇽 
Llegué y fue para quedarme! 🙌🏻",8,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-10 12:02:39-05:00,0.0022698,11349,105,"En BUCARAMANGA me siento en mi casa 🏠🫶

Gracias 🙏🏽",10,0,[]
Yeison Jiménez,5000000,Video,2024-09-10 11:48:19-05:00,0.0022388,11194,97,"Llega el invicto Tour 🤠 este próximo 1️⃣4️⃣ de septiembre a la Monumental con la @industrialicoreradecaldas  El Invicto Tour 17/32 , 13 Años de carrera musical de @yeison_jimenez después del Sold out triple en Bogotá y una presentación espectacular en Medellín y en Bogotá ❤️llega a la ciudad de las puertas abiertas 😍🙌🏻 no se pierdan este espectacular concierto con el sello de calidad y cumplimiento de eventos sirvalo pues 

#invictotour1732 #yeisonjimenez #jimenistasdecorazon #jimenistasmanizales",74,4,"['#invictotour1732', '#yeisonjimenez', '#jimenistasdecorazon', '#jimenistasmanizales']"
Yeison Jiménez,5000000,Video,2024-09-08 20:06:05-05:00,0.0020254,10127,73,"Si usted no cuido ese amor y ahora está de amante, La Llamada es pa usted! 😎☎️🔥",17,0,[]
Yeison Jiménez,5000000,Video,2024-09-05 21:44:29-05:00,0.0038966,19483,184,"¡Te dijimos que veníamos con toda! 🎤 Camino al Éxito podcast, proyecto de @yeison_jimenez llega para revelarte las mejores anécdotas de los famosos en Colombia y el mundo. 🤫 En este capítulo, conversamos con @la_liendraa, reconocido influencer del país. 📸 ¡No puedes perdértelo! 🔥 Ya disponible el el link de nuestra biografía.",52,0,[]
Yeison Jiménez,5000000,Video,2024-09-03 19:00:15-05:00,0.0072542,36271,841,"En la vida debemos hacer La Llamada y…

SOÑAR 😂🥲🔥

@karinagarciaoficiall con esta reina!",14,0,[]
Yeison Jiménez,5000000,Video,2024-09-02 20:42:58-05:00,0.0027024,13512,109,Está canción a cualquiera le agua el ojo 🥲🥷🏻🔥 LA LLAMADA,11,0,[]
Yeison Jiménez,5000000,Carrusel,2024-09-01 15:25:56-05:00,0.0019936,9968,67,Tunja gracias 🙏🏽 nos vemos pronto! 🫠,7,0,[]
Yeison Jiménez,5000000,Video,2024-08-29 20:34:58-05:00,0.00246,12300,121,"Ay mi amooor, esto es La Llamadaa y se canta a todo pulmón ☎️🔥",14,0,[]
