Artista,Seguidores,Tipo,Fecha y Hora,KPI,Likes,Comentarios,Caption,Palabras en Caption,Número de hashtags,Hashtags
Los Hermanos Ariza Show,23100,Video,2024-08-23 16:30:07-05:00,0.01025974025974026,237,10,"Familia, “dos opciones tienes en la vida, soñar acostado, o levantarte y hacer tus sueños realidad”. Estamos esperando con ansias el 5 de septiembre. Soñemos juntos, ¡Por siempre Ariza Show! ❤️‍🔥🪗",31,0,[]
Los Hermanos Ariza Show,23100,Video,2024-08-21 18:12:57-05:00,0.0170995670995671,395,25,"Lo que ustedes estaban pidiendo familia. Se viene lanzamiento de nuestra nueva canción. 🔥
Con mucho amor para ustedes, ¡por siempre, Ariza Show! ❤️‍🔥🪗 #hermanosarizashow #musicanorteña",26,2,"['#hermanosarizashow', '#musicanorteña']"
Los Hermanos Ariza Show,23100,Video,2024-08-20 10:47:34-05:00,0.008528138528138529,197,6,"¡Gracias familia! Por acompañarnos en cada canción, en cada show. Todo esto es por ustedes. Que honor saber que de muchos de ustedes hacemos parte con nuestra música desde hace años y a quienes están llegando a nosotros, bienvenidos a esta familia. ¡Por siempre, Ariza Show! ❤️‍🔥🪗",47,0,[]
Uriel Henao,50400,Video,2024-09-17 16:16:39-05:00,0.003412698412698413,172,8,"Mis amigos de Bogotá, nos vemos este viernes 20 de septiembre en el Centro de Eventos Autopista Norte. Allí estaré compartiendo tarima con mis amigos @yeison_jimenez @nelsonvelasquezoficial y @jhonalexcastano ¡Los esperamos!",31,0,[]
Uriel Henao,50400,Video,2024-09-06 09:43:20-05:00,0.009226190476190476,465,15,"Después de 10 años de haber grabado este corrido, hoy es un himno para muchos campesinos y transportadores, quienes llevan la comida a la mesa de los Colombianos. Este corrido se llama LOS CAMPESINOS y narra algo de la triste realidad que afronta hoy nuestro país.

Ya está disponible en mi canal oficial de Youtube, en mis historias les dejo el link para que vayan a verlo completo.
#urielhenao #elreydeloscorridosprohibidos #loscampesinos",71,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#loscampesinos']"
Uriel Henao,50400,Video,2024-09-05 21:11:22-05:00,0.006884920634920635,347,10,"Mis amigos, mañana les compartiré en las redes el video del corrido prohibido llamado LOS CAMPESINOS, el cual grabé hace 10 años y lo publicaré porque narra la realidad que atraviesa nuestro país precisamente con el tema del paro camionero, donde mi Colombia sufre por tantas injusticias y paga las consecuencias a un alto precio.

Además esperen pronto las sorpresas que grabamos con la agrupación mexicana @gruposellooficial . ¡Un abrazo para todos!",72,0,[]
Uriel Henao,50400,Carrusel,2024-09-05 09:04:21-05:00,0.012123015873015872,611,10,"Un saludo para todos mis seguidores, un saludo especial a quienes en medio de esta situación de nuestro país escuchan los corridos prohibidos que narran la cruda realidad.

#urielhenao
#elreydeloscorridosprohibidos",30,2,"['#urielhenao', '#elreydeloscorridosprohibidos']"
Uriel Henao,50400,Video,2024-07-31 15:14:56-05:00,0.007757936507936508,391,11,"Mis amigos les dejo por aquí algo de mi show el pasado sábado en SAN JOSÉ DEL GUAVIARE. Quiero agradecerle a este público tan especial y a esta tierra que ha sido siempre de corridos prohibidos. Gracias por su asistencia, por cantar mis canciones y por su cariño.
#urielhenao #elreydeloscorridosprohibidos #sanjosedelguaviare",51,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#sanjosedelguaviare']"
Uriel Henao,50400,Video,2024-07-28 13:00:17-05:00,0.009384920634920635,473,6,"Les dejo algo del video de la canción EL AMOR SOÑADO. Ya está disponible en mi canal oficial de Youtube. En mis historias les dejo el link.
#urielhenao #elreydeloscorridosprohibidos #elamorsoñado",30,3,"['#urielhenao', '#elreydeloscorridosprohibidos', '#elamorsoñado']"
Uriel Henao,50400,Video,2024-07-27 20:41:39-05:00,-1.984126984126984e-05,-1,1,"▪︎EL AMOR SOÑADO▪︎ acaba de salir lo nuevo de @urielhenaooficial 💕👏👏

#elamorsoñado #urielhenao #tiktok #tendencia #Viral #corridos #corridosprohibidos🔉 #norteña",19,8,"['#elamorsoñado', '#urielhenao', '#tiktok', '#tendencia', '#Viral', '#corridos', '#corridosprohibidos', '#norteña']"
Uriel Henao,50400,Video,2024-07-25 07:48:49-05:00,0.005456349206349206,275,8,"Este sábado 27 de julio a las 7:00PM llega el video oficial de la canción EL AMOR SOÑADO, un éxito hermoso para dedicar a ese amor que llegó a transformar nuestras vidas. Así que muy pendientes de este lanzamiento y no olviden que estará disponible en mi canal oficial de Youtube y en todas las plataformas digitales. En mis historias de hoy les dejo los enlaces para que vayan a mis perfiles y se suscriban.
#urielhenao #elreydeloscorridosprohibidos #elamorsoñado #lanzamiento",79,4,"['#urielhenao', '#elreydeloscorridosprohibidos', '#elamorsoñado', '#lanzamiento']"
