Artista,Seguidores,Likes totales,Fecha y Hora,Duración,Visualizaciones,Likes,Comentarios,Compartido,Caption,Palabras en Caption,Hashtags,Número de hashtags
Los 5 del Norte,19500,21100,2024-09-14 15:42:41,17,1189,46,1,2,"🤠🔥 Esta va para el pueblo, para los que saben de humildad y  pobreza 🎶 #AmigoSincero  #los5delnorte #musicanorteña💪🇲🇽🎶 #lanzamiento #corridos ",20,"['#AmigoSincero', '#los5delnorte', '#musicanorteña', '#lanzamiento', '#corridos']",5
Los 5 del Norte,19500,21100,2024-09-13 13:42:15,89,1220,68,9,1,Seguimos MAS FUERTES QUE NUNCA 🎶🔥 #los5delnorte #musicanorteña #corridos #musicanorteña💪🇲🇽🎶 #lostigresdelnorte ,11,"['#los5delnorte', '#musicanorteña', '#corridos', '#musicanorteña', '#lostigresdelnorte']",5
Los 5 del Norte,19500,21100,2024-09-12 18:27:43,30,1255,42,7,1,🎶No le espantan los rugidos 🐯 #AmigoDeLasFieras #los5delnorte #musicanorteña💪🇲🇽🎶 #corridos #musicanorteña ,11,"['#AmigoDeLasFieras', '#los5delnorte', '#musicanorteña', '#corridos', '#musicanorteña']",5
Los 5 del Norte,19500,21100,2024-09-10 12:20:33,16,1426,93,3,8,¡ Apoyando a la selección!  🇨🇴⚽  #los5delnorte  #colombiavsargentina #futbol #seleccioncolombia ,10,"['#los5delnorte', '#colombiavsargentina', '#futbol', '#seleccioncolombia']",4
Los 5 del Norte,19500,21100,2024-09-10 09:25:24,43,582,29,2,3,Dejémosla que llore 🎶🤠 Ya disponible en todas las plataformas  #los5delnorte #musicanorteña #musicanorteña💪🇲🇽🎶 #regionalmexicano #lostigresdelnorte #videosmusicales ,16,"['#los5delnorte', '#musicanorteña', '#musicanorteña', '#regionalmexicano', '#lostigresdelnorte', '#videosmusicales']",6
Los 5 del Norte,19500,21100,2024-09-06 09:04:07,45,3376,142,8,12,Cuando alguien me bloquea 🙄   #musicanorteña💪🇲🇽🎶 #los5delnorte #lamesadelrincon #lostigresdelnorte #musicanorteña ,10,"['#musicanorteña', '#los5delnorte', '#lamesadelrincon', '#lostigresdelnorte', '#musicanorteña']",5
Los 5 del Norte,19500,21100,2024-08-31 15:19:19,31,13300,265,11,13,Familia ya está disponible #pacasdeakilo 🤠🔥🎶 #los5delnorte #musicanorteña #regionalmexicano #lostigresdelnorte #musicanorteña💪🇲🇽🎶 ,11,"['#pacasdeakilo', '#los5delnorte', '#musicanorteña', '#regionalmexicano', '#lostigresdelnorte', '#musicanorteña']",6
Los 5 del Norte,19500,21100,2024-08-30 16:09:12,26,996,35,3,1,🤠 Pacas de a kilo 🎶 #los5delnorte #musicanorteña #norteñas #musicanorteña💪🇲🇽🎶 #regionalmexicano #lostigresdelnorte #lanzamiento ,13,"['#los5delnorte', '#musicanorteña', '#norteñas', '#musicanorteña', '#regionalmexicano', '#lostigresdelnorte', '#lanzamiento']",7
Los 5 del Norte,19500,21100,2024-08-29 20:52:41,34,857,27,4,3,La corazonada❤️🎶  #los5delnorte  #musicanorteña #regionalmexicano #musicanorteña💪🇲🇽🎶 #lostigresdelnorte #norteñas #dariogomez ,9,"['#los5delnorte', '#musicanorteña', '#regionalmexicano', '#musicanorteña', '#lostigresdelnorte', '#norteñas', '#dariogomez']",7
Los 5 del Norte,19500,21100,2024-08-29 17:11:01,64,986,54,4,0,¿ En qué ciudad les gustaría vernos ? 🎶🤠 #los5delnorte #musicanorteña #concierto #regionalmexicano ,13,"['#los5delnorte', '#musicanorteña', '#concierto', '#regionalmexicano']",4
Los 5 del Norte,19500,21100,2024-08-28 18:50:02,66,786,30,4,1,¡ Alexa ya sabes cuál poner ! 🎶🔥  #los5delnorte #musicanorteña #causamelamuerte #corridos,12,"['#los5delnorte', '#musicanorteña', '#causamelamuerte', '#corridos']",4
Los 5 del Norte,19500,21100,2024-08-26 14:30:40,34,817,41,1,0,"Ay, dejémosla que llore 😩 Mientras tomamos licores 🥳🥃 #los5delnorte #musicanorteña #videoviral #trendingvideo #parati",14,"['#los5delnorte', '#musicanorteña', '#videoviral', '#trendingvideo', '#parati']",5
Los 5 del Norte,19500,21100,2024-08-24 19:56:26,81,738,38,1,1,🎶 Ay dejémosla que llore 🥳🔥 #los5delnorte #musicanorteña #viraltiktok #parati ,10,"['#los5delnorte', '#musicanorteña', '#viraltiktok', '#parati']",4
Los 5 del Norte,19500,21100,2024-08-23 11:57:03,90,771,34,0,2,🌄¡ familia con esta noticia iniciamos el día! 🗞️☕ Un agradecimiento especial a el @diarioadncolombia  por la  nota 🤠🎶  #los5delnorte  #MasFuertesQueNunca  #Lanzamiento #girademedios #promocion,24,"['#los5delnorte', '#MasFuertesQueNunca', '#Lanzamiento', '#girademedios', '#promocion']",5
Los 5 del Norte,19500,21100,2024-08-21 13:16:30,59,992,43,3,0,"🔥La Vega, fue un placer cantar para ustedes. ¡Gracias por regalarnos una noche increíble! 🤠 volveremos muy pronto🐯 🥳  #los5delnorte #musicanorteña  #regionalmexicano  #concierto ",23,"['#los5delnorte', '#musicanorteña', '#regionalmexicano', '#concierto']",4
Los 5 del Norte,19500,21100,2024-08-18 10:47:16,69,1005,56,3,3,Respuesta a @gilbertoperez366 🤠🎶 Complaciendo a nuestros seguidores 🎉  #los5delnorte #musicanorteña #regionalmexicano #parati #pedroypablo #domingo ,15,"['#los5delnorte', '#musicanorteña', '#regionalmexicano', '#parati', '#pedroypablo', '#domingo']",6
Los 5 del Norte,19500,21100,2024-08-17 12:20:39,31,941,53,4,2,"🤠Familia ,  Ya esta disponible  #LaMesaDelRincon 🐯🎶 no olviden compartirla 🎉  ¡ Los queremos ! ❤️ #los5delnorte #musicanorteña #regionalmexicano #video #paratii ",21,"['#LaMesaDelRincon', '#los5delnorte', '#musicanorteña', '#regionalmexicano', '#video', '#paratii']",6
